class,ExtractionTurbine,Sink,BackpressureTurbine,Sink
label,extr_turbine,electrical_demand,bp_turbine,heat_demand
source,extr_turbine,electrical_balance,bp_turbine,heat_balance
target,electrical_balance,electrical_demand,electrical_balance,heat_demand
attribute,max,variable_costs,max,actual_value
,0.97,-78.99,0.99,0.2437331516
,0.97,-79.98,0.99,0.246778243
,0.97,-77.7,0.99,0.2542671496
,0.97,-84.13,0.99,0.2675343843
,0.97,-96.41,0.99,0.2856671632
,0.97,-87.05,0.99,0.297276272
,0.97,-76.98,0.99,0.2837494791
,0.97,-65.77,0.99,0.2626769986
,0.97,-58.86,0.99,0.2184679538
,0.97,-54.6,0.99,0.1507227637
,0.97,-46.66,0.99,0.1441735159
,0.97,-46.17,0.99,0.1655940671
,0.97,-46.12,0.99,0.1700881514
,0.97,-45.58,0.99,0.1773041705
,0.97,-41.02,0.99,0.1901486592
,0.97,-40.37,0.99,0.2237509635
,0.97,-47.85,0.99,0.2962577996
,0.97,-58.38,0.99,0.3471333528
,0.97,-67.01,0.99,0.3351252995
,0.97,-74.92,0.99,0.315651352
,0.97,-74.94,0.99,0.2983471149
,0.97,-77.96,0.99,0.2770327689
,0.97,-77.91,0.99,0.2642448856
,0.97,-79.79,0.99,0.256127093
,0.97,-79.21,0.99,0.2549524913
,0.97,-77,0.99,0.2589620391
,0.97,-76.91,0.99,0.2677427087
,0.97,-75.9,0.99,0.2775301242
,0.97,-89.96,0.99,0.2933761694
,0.97,-88.18,0.99,0.3062412067
,0.97,-73.43,0.99,0.2953162858
,0.97,-66.95,0.99,0.2754339962
,0.97,-55.3,0.99,0.2359839151
,0.97,-49.96,0.99,0.1693646938
,0.97,-50.45,0.99,0.1625716563
,0.97,-49.11,0.99,0.1154860344
,0.97,-48.41,0.99,0.1179217554
,0.97,-49.16,0.99,0.1233299357
,0.97,-45.27,0.99,0.1367882996
,0.97,-41.23,0.99,0.1709466284
,0.97,-39.65,0.99,0.2352365983
,0.97,-30.2,0.99,0.2783402294
,0.97,-30.24,0.99,0.2606149545
,0.97,-38.1,0.99,0.2406699522
,0.97,-40.97,0.99,0.2240842557
,0.97,-42.84,0.99,0.2066969757
,0.97,-46.17,0.99,0.1967113342
,0.97,-46.03,0.99,0.1914405016
,0.97,-45.05,0.99,0.1915528283
,0.97,-45.04,0.99,0.1939460024
,0.97,-49.13,0.99,0.1998316246
,0.97,-53.03,0.99,0.2102585046
,0.97,-65.29,0.99,0.2245092746
,0.97,-66.04,0.99,0.2336330134
,0.97,-62.09,0.99,0.2230021434
,0.97,-51.08,0.99,0.2064410265
,0.97,-49.66,0.99,0.1716966041
,0.97,-55.08,0.99,0.1184548408
,0.97,-48.07,0.99,0.1133077078
,0.97,-53.66,0.99,0.1237197599
,0.97,-49.96,0.99,0.1263291388
,0.97,-48.59,0.99,0.1321229022
,0.97,-47.54,0.99,0.1465407975
,0.97,-47.9,0.99,0.1831344883
,0.97,-48.99,0.99,0.2520080944
,0.97,-49.05,0.99,0.2981848543
,0.97,-51.85,0.99,0.2791958332
,0.97,-54.5,0.99,0.2578288263
,0.97,-66.99,0.99,0.2400606312
,0.97,-68.67,0.99,0.2214337026
,0.97,-69.56,0.99,0.210736122
,0.97,-70.61,0.99,0.2050894987
,0.97,-61.86,0.99,0.2052098338
,0.97,-59.86,0.99,0.2077736323
,0.97,-60.1,0.99,0.2140788775
,0.97,-65.52,0.99,0.2252491553
,0.97,-74.99,0.99,0.2405159524
,0.97,-77.98,0.99,0.2502901799
,0.97,-74.03,0.99,0.2389013683
,0.97,-60.14,0.99,0.2211595052
,0.97,-52.25,0.99,0.1839379346
,0.97,-54.43,0.99,0.1269002312
,0.97,-47.62,0.99,0.1213861267
,0.97,-47.85,0.99,0.1395121852
,0.97,-47.89,0.99,0.1424546429
,0.97,-47.88,0.99,0.1489879614
,0.97,-45.93,0.99,0.1652462541
,0.97,-46.79,0.99,0.2065110107
,0.97,-49.33,0.99,0.2841761088
,0.97,-61,0.99,0.3362471821
,0.97,-79.48,0.99,0.3148342741
,0.97,-79.31,0.99,0.2907398382
,0.97,-77.98,0.99,0.2707035908
,0.97,-75.75,0.99,0.2496989953
,0.97,-78.92,0.99,0.2376359032
,0.97,-74.4,0.99,0.2312685068
,0.97,-71.06,0.99,0.2314042023
,0.97,-71.07,0.99,0.2342952614
,0.97,-70.99,0.99,0.2414053506
,0.97,-74.48,0.99,0.2540014781
,0.97,-86.75,0.99,0.2712170322
,0.97,-85.27,0.99,0.282238908
,0.97,-79.51,0.99,0.2693963518
,0.97,-68.65,0.99,0.2493897975
,0.97,-64.29,0.99,0.2074170142
,0.97,-62.29,0.99,0.1430986333
,0.97,-59.93,0.99,0.1368806714
,0.97,-51.66,0.99,0.1395121852
,0.97,-47.49,0.99,0.1424546429
,0.97,-46.44,0.99,0.1489879614
,0.97,-42.99,0.99,0.1652462541
,0.97,-41.15,0.99,0.2065110107
,0.97,-43.18,0.99,0.2841761088
,0.97,-47.97,0.99,0.3362471821
,0.97,-66.91,0.99,0.3148342741
,0.97,-67.03,0.99,0.2907398382
,0.97,-62.95,0.99,0.2707035908
,0.97,-62.41,0.99,0.2496989953
,0.97,-61.09,0.99,0.2376359032
,0.97,-61.03,0.99,0.2312685068
,0.97,-65.16,0.99,0.2314042023
,0.97,-68.97,0.99,0.2342952614
,0.97,-70,0.99,0.2414053506
,0.97,-69.01,0.99,0.2540014781
,0.97,-89.07,0.99,0.2712170322
,0.97,-85.04,0.99,0.282238908
,0.97,-75.72,0.99,0.2693963518
,0.97,-69.9,0.99,0.2493897975
,0.97,-61.32,0.99,0.2074170142
,0.97,-59.66,0.99,0.1430986333
,0.97,-48.02,0.99,0.1368806714
,0.97,-49.55,0.99,0.131751677
,0.97,-48.15,0.99,0.1345304574
,0.97,-43.44,0.99,0.1407003534
,0.97,-42.39,0.99,0.1560542619
,0.97,-41.1,0.99,0.1950236241
,0.97,-44.2,0.99,0.2683685216
,0.97,-49.94,0.99,0.3175430881
,0.97,-73.33,0.99,0.2973212951
,0.97,-77.69,0.99,0.2745671369
,0.97,-79.06,0.99,0.2556454262
,0.97,-80.11,0.99,0.2358092329
,0.97,-80.36,0.99,0.2244171627
,0.97,-78.27,0.99,0.2184039591
,0.97,-77.61,0.99,0.2185321065
,0.97,-78.46,0.99,0.2212623474
,0.97,-77.94,0.99,0.2279769307
,0.97,-89.95,0.99,0.2398723857
,0.97,-131.79,0.99,0.2561303069
,0.97,-130.48,0.99,0.2665390796
,0.97,-95,0.99,0.2544109037
,0.97,-76.19,0.99,0.2355172345
,0.97,-68.41,0.99,0.1958792303
,0.97,-63.55,0.99,0.1351386253
,0.97,-52.56,0.99,0.1292665438
,0.97,-50.8,0.99,0.1237197599
,0.97,-45.25,0.99,0.1263291388
,0.97,-45.72,0.99,0.1321229022
,0.97,-44.05,0.99,0.1465407975
,0.97,-44.18,0.99,0.1831344883
,0.97,-47.93,0.99,0.2520080944
,0.97,-57.05,0.99,0.2981848543
,0.97,-84.99,0.99,0.2791958332
,0.97,-79.51,0.99,0.2578288263
,0.97,-78.92,0.99,0.2400606312
,0.97,-79.45,0.99,0.2214337026
,0.97,-78.04,0.99,0.210736122
,0.97,-72.72,0.99,0.2050894987
,0.97,-74.93,0.99,0.2052098338
,0.97,-73.27,0.99,0.2077736323
,0.97,-73.04,0.99,0.2140788775
,0.97,-78.32,0.99,0.2252491553
,0.97,-103.48,0.99,0.2405159524
,0.97,-92.75,0.99,0.2502901799
,0.97,-77.55,0.99,0.2389013683
,0.97,-71.86,0.99,0.2211595052
,0.97,-54.99,0.99,0.1839379346
,0.97,-52.91,0.99,0.1269002312
,0.97,-47.79,0.99,0.1213861267
,0.97,-42.95,0.99,0.0805337788
,0.97,-42.01,0.99,0.0831244629
,0.97,-40.5,0.99,0.0879323558
,0.97,-35.03,0.99,0.1022871201
,0.97,-36.77,0.99,0.139037883
,0.97,-43.08,0.99,0.1858856502
,0.97,-48.78,0.99,0.2054020934
,0.97,-74.6,0.99,0.192821022
,0.97,-77.63,0.99,0.1729566842
,0.97,-76.98,0.99,0.1573130772
,0.97,-74.68,0.99,0.1439871948
,0.97,-74.65,0.99,0.134547108
,0.97,-72.95,0.99,0.129526672
,0.97,-72.27,0.99,0.1281142426
,0.97,-71.72,0.99,0.1298577221
,0.97,-70.64,0.99,0.135315582
,0.97,-75.41,0.99,0.1469737268
,0.97,-92.14,0.99,0.1596110157
,0.97,-97.56,0.99,0.1674130372
,0.97,-80.96,0.99,0.1603220202
,0.97,-71.17,0.99,0.1453005856
,0.97,-57.37,0.99,0.1166160704
,0.97,-53.02,0.99,0.0836611198
,0.97,-45.25,0.99,0.0788687163
,0.97,-14.01,0.99,0.0728340042
,0.97,5.04,0.99,0.075176995
,0.97,20.45,0.99,0.0795252088
,0.97,-2.28,0.99,0.0925075248
,0.97,-14.8,0.99,0.1257445746
,0.97,-14.08,0.99,0.1681132618
,0.97,-2.38,0.99,0.1857637523
,0.97,-14.01,0.99,0.1743855478
,0.97,-21.5,0.99,0.1564204245
,0.97,-36.36,0.99,0.1422724912
,0.97,-43.32,0.99,0.1302206864
,0.97,-53.71,0.99,0.1216831593
,0.97,-50.2,0.99,0.1171427234
,0.97,-53.3,0.99,0.1158653354
,0.97,-44.46,0.99,0.1174421221
,0.97,-41.12,0.99,0.1223781601
,0.97,-47.56,0.99,0.1329216783
,0.97,-62,0.99,0.1443507254
,0.97,-65.99,0.99,0.1514068015
,0.97,-61.06,0.99,0.1449937513
,0.97,-52.51,0.99,0.1314085049
,0.97,-41,0.99,0.1054664948
,0.97,-49.96,0.99,0.0756623425
,0.97,-39.41,0.99,0.0713281371
,0.97,-33.45,0.99,0.0728340042
,0.97,-25.93,0.99,0.075176995
,0.97,-23.38,0.99,0.0795252088
,0.97,-20.14,0.99,0.0925075248
,0.97,-14.04,0.99,0.1257445746
,0.97,-3.17,0.99,0.1681132618
,0.97,-0.2,0.99,0.1857637523
,0.97,-3.55,0.99,0.1743855478
,0.97,-21.82,0.99,0.1564204245
,0.97,-41.31,0.99,0.1422724912
,0.97,-46.52,0.99,0.1302206864
,0.97,-46.06,0.99,0.1216831593
,0.97,-43.23,0.99,0.1171427234
,0.97,-40.41,0.99,0.1158653354
,0.97,-35,0.99,0.1174421221
,0.97,-34.91,0.99,0.1223781601
,0.97,-41.07,0.99,0.1329216783
,0.97,-48.42,0.99,0.1443507254
,0.97,-48.42,0.99,0.1514068015
,0.97,-44.15,0.99,0.1449937513
,0.97,-41.03,0.99,0.1314085049
,0.97,-35.08,0.99,0.1054664948
,0.97,-34.09,0.99,0.0756623425
,0.97,-21.42,0.99,0.0713281371
,0.97,-44.76,0.99,0.0966308533
,0.97,-42.56,0.99,0.0997393628
,0.97,-39.68,0.99,0.1055082562
,0.97,-38.27,0.99,0.1227322478
,0.97,-38.13,0.99,0.1668287453
,0.97,-46.46,0.99,0.2230404343
,0.97,-53.77,0.99,0.2464578199
,0.97,-72.47,0.99,0.2313620466
,0.97,-72.94,0.99,0.2075272292
,0.97,-72.58,0.99,0.1887567815
,0.97,-76.23,0.99,0.1727673245
,0.97,-74.67,0.99,0.1614403552
,0.97,-73.71,0.99,0.1554164355
,0.97,-69.04,0.99,0.15372169
,0.97,-65.13,0.99,0.1558136558
,0.97,-65.39,0.99,0.1623624316
,0.97,-68.47,0.99,0.1763508039
,0.97,-75.7,0.99,0.1915140313
,0.97,-68.18,0.99,0.2008755193
,0.97,-52.56,0.99,0.1923671513
,0.97,-46.51,0.99,0.1743432356
,0.97,-46.02,0.99,0.1399252656
,0.97,-50.88,0.99,0.1003832865
,0.97,-38.93,0.99,0.0946329785
,0.97,-46.32,0.99,0.1237197599
,0.97,-44.1,0.99,0.1263291388
,0.97,-37.82,0.99,0.1321229022
,0.97,-30.09,0.99,0.1465407975
,0.97,-29.15,0.99,0.1831344883
,0.97,-41.3,0.99,0.2520080944
,0.97,-45.54,0.99,0.2981848543
,0.97,-59.79,0.99,0.2791958332
,0.97,-67.23,0.99,0.2578288263
,0.97,-62.62,0.99,0.2400606312
,0.97,-61.93,0.99,0.2214337026
,0.97,-60.51,0.99,0.210736122
,0.97,-51.25,0.99,0.2050894987
,0.97,-50.05,0.99,0.2052098338
,0.97,-48.57,0.99,0.2077736323
,0.97,-52.08,0.99,0.2140788775
,0.97,-64.28,0.99,0.2252491553
,0.97,-71.77,0.99,0.2405159524
,0.97,-68.65,0.99,0.2502901799
,0.97,-59.77,0.99,0.2389013683
,0.97,-47.98,0.99,0.2211595052
,0.97,-47.38,0.99,0.1839379346
