class,Sink,Sink
label,heat_demand,electrical_demand
source,heat_balance,electrical_balance
target,heat_demand,electrical_demand
attribute,actual_value,variable_costs
,0.2140788775,-60.1
,0.2252491553,-65.52
,0.2405159524,-74.99
,0.2502901799,-77.98
,0.2389013683,-74.03
,0.2211595052,-60.14
,0.1839379346,-52.25
,0.1269002312,-54.43
,0.1213861267,-47.62
,0.1395121852,-47.85
,0.1424546429,-47.89
,0.1489879614,-47.88
,0.1652462541,-45.93
,0.2065110107,-46.79
,0.2841761088,-49.33
,0.3362471821,-61
,0.3148342741,-79.48
,0.2907398382,-79.31
,0.2707035908,-77.98
,0.2496989953,-75.75
,0.2376359032,-78.92
,0.2312685068,-74.4
,0.2314042023,-71.06
,0.2342952614,-71.07
,0.2414053506,-70.99
,0.2540014781,-74.48
,0.2712170322,-86.75
,0.282238908,-85.27
,0.2693963518,-79.51
,0.2493897975,-68.65
,0.2074170142,-64.29
,0.1430986333,-62.29
,0.1368806714,-59.93
,0.1395121852,-51.66
,0.1424546429,-47.49
,0.1489879614,-46.44
,0.1652462541,-42.99
,0.2065110107,-41.15
,0.2841761088,-43.18
,0.3362471821,-47.97
,0.3148342741,-66.91
,0.2907398382,-67.03
,0.2707035908,-62.95
,0.2496989953,-62.41
,0.2376359032,-61.09
,0.2312685068,-61.03
,0.2314042023,-65.16
,0.2342952614,-68.97
,0.2414053506,-70
,0.2540014781,-69.01
,0.2712170322,-89.07
,0.282238908,-85.04
,0.2693963518,-75.72
,0.2493897975,-69.9
,0.2074170142,-61.32
,0.1430986333,-59.66
,0.1368806714,-48.02
,0.131751677,-49.55
,0.1345304574,-48.15
,0.1407003534,-43.44
,0.1560542619,-42.39
,0.1950236241,-41.1
,0.2683685216,-44.2
,0.3175430881,-49.94
,0.2973212951,-73.33
,0.2745671369,-77.69
,0.2556454262,-79.06
,0.2358092329,-80.11
,0.2244171627,-80.36
,0.2184039591,-78.27
,0.2185321065,-77.61
,0.2212623474,-78.46
,0.2279769307,-77.94
,0.2398723857,-89.95
,0.2561303069,-131.79
,0.2665390796,-130.48
,0.2544109037,-95
,0.2355172345,-76.19
,0.1958792303,-68.41
,0.1351386253,-63.55
,0.1292665438,-52.56
,0.1237197599,-50.8
,0.1263291388,-45.25
,0.1321229022,-45.72
,0.1465407975,-44.05
,0.1831344883,-44.18
,0.2520080944,-47.93
,0.2981848543,-57.05
,0.2791958332,-84.99
,0.2578288263,-79.51
,0.2400606312,-78.92
,0.2214337026,-79.45
,0.210736122,-78.04
,0.2050894987,-72.72
,0.2052098338,-74.93
,0.2077736323,-73.27
,0.2140788775,-73.04
,0.2252491553,-78.32
,0.2405159524,-103.48
,0.2502901799,-92.75
,0.2389013683,-77.55
,0.2211595052,-71.86
,0.1839379346,-54.99
,0.1269002312,-52.91
,0.1213861267,-47.79
,0.0805337788,-42.95
,0.0831244629,-42.01
,0.0879323558,-40.5
,0.1022871201,-35.03
,0.139037883,-36.77
,0.1858856502,-43.08
,0.2054020934,-48.78
,0.192821022,-74.6
,0.1729566842,-77.63
,0.1573130772,-76.98
,0.1439871948,-74.68
,0.134547108,-74.65
,0.129526672,-72.95
,0.1281142426,-72.27
,0.1298577221,-71.72
,0.135315582,-70.64
,0.1469737268,-75.41
,0.1596110157,-92.14
,0.1674130372,-97.56
,0.1603220202,-80.96
,0.1453005856,-71.17
,0.1166160704,-57.37
,0.0836611198,-53.02
,0.0788687163,-45.25
,0.0728340042,-14.01
,0.075176995,5.04
,0.0795252088,20.45
,0.0925075248,-2.28
,0.1257445746,-14.8
,0.1681132618,-14.08
,0.1857637523,-2.38
,0.1743855478,-14.01
,0.1564204245,-21.5
,0.1422724912,-36.36
,0.1302206864,-43.32
,0.1216831593,-53.71
,0.1171427234,-50.2
,0.1158653354,-53.3
,0.1174421221,-44.46
,0.1223781601,-41.12
,0.1329216783,-47.56
,0.1443507254,-62
,0.1514068015,-65.99
,0.1449937513,-61.06
,0.1314085049,-52.51
,0.1054664948,-41
,0.0756623425,-49.96
,0.0713281371,-39.41
,0.0728340042,-33.45
,0.075176995,-25.93
,0.0795252088,-23.38
,0.0925075248,-20.14
,0.1257445746,-14.04
,0.1681132618,-3.17
,0.1857637523,-0.2
,0.1743855478,-3.55
,0.1564204245,-21.82
,0.1422724912,-41.31
,0.1302206864,-46.52
,0.1216831593,-46.06
,0.1171427234,-43.23
,0.1158653354,-40.41
,0.1174421221,-35
,0.1223781601,-34.91
,0.1329216783,-41.07
,0.1443507254,-48.42
,0.1514068015,-48.42
,0.1449937513,-44.15
,0.1314085049,-41.03
,0.1054664948,-35.08
,0.0756623425,-34.09
,0.0713281371,-21.42
,0.0966308533,-44.76
,0.0997393628,-42.56
,0.1055082562,-39.68
,0.1227322478,-38.27
,0.1668287453,-38.13
,0.2230404343,-46.46
,0.2464578199,-53.77
,0.2313620466,-72.47
,0.2075272292,-72.94
,0.1887567815,-72.58
,0.1727673245,-76.23
,0.1614403552,-74.67
,0.1554164355,-73.71
,0.15372169,-69.04
,0.1558136558,-65.13
,0.1623624316,-65.39
,0.1763508039,-68.47
,0.1915140313,-75.7
,0.2008755193,-68.18
,0.1923671513,-52.56
,0.1743432356,-46.51
,0.1399252656,-46.02
,0.1003832865,-50.88
,0.0946329785,-38.93
,0.1237197599,-46.32
,0.1263291388,-44.1
,0.1321229022,-37.82
,0.1465407975,-30.09
,0.1831344883,-29.15
,0.2520080944,-41.3
,0.2981848543,-45.54
,0.2791958332,-59.79
,0.2578288263,-67.23
,0.2400606312,-62.62
,0.2214337026,-61.93
,0.210736122,-60.51
,0.2050894987,-51.25
,0.2052098338,-50.05
,0.2077736323,-48.57
,0.2140788775,-52.08
,0.2252491553,-64.28
,0.2405159524,-71.77
,0.2502901799,-68.65
,0.2389013683,-59.77
,0.2211595052,-47.98
,0.1839379346,-47.38
,0.1269002312,-48.21
,0.1213861267,-43.92
,0.1237197599,-48.65
,0.1263291388,-47.56
,0.1321229022,-44.45
,0.1465407975,-39.83
,0.1831344883,-38.84
,0.2520080944,-41.27
,0.2981848543,-47.06
,0.2791958332,-63.13
,0.2578288263,-65.39
,0.2400606312,-67.59
,0.2214337026,-68.99
,0.210736122,-70.07
,0.2050894987,-71.2
,0.2052098338,-68.92
,0.2077736323,-67.28
,0.2140788775,-65.2
,0.2252491553,-67.28
,0.2405159524,-79.68
,0.2502901799,-79.2
,0.2389013683,-72.48
,0.2211595052,-65.13
,0.1839379346,-51.04
,0.1269002312,-50
,0.1213861267,-44.82
,0.1154860344,-47.76
,0.1179217554,-45.93
,0.1233299357,-45.91
,0.1367882996,-42.99
,0.1709466284,-42.4
,0.2352365983,-47.89
,0.2783402294,-55.39
,0.2606149545,-82
,0.2406699522,-83
,0.2240842557,-84.85
,0.2066969757,-88.66
,0.1967113342,-90.28
,0.1914405016,-82.92
,0.1915528283,-81.58
,0.1939460024,-77.49
,0.1998316246,-73.69
,0.2102585046,-79.93
,0.2245092746,-104.94
,0.2336330134,-98.03
,0.2230021434,-84.14
,0.2064410265,-69.66
,0.1716966041,-58
,0.1184548408,-51.71
,0.1133077078,-48.18
,0.1237197599,-48.6
,0.1263291388,-48.35
,0.1321229022,-48.54
,0.1465407975,-44.03
,0.1831344883,-43.04
,0.2520080944,-46.82
,0.2981848543,-57.21
,0.2791958332,-70.4
,0.2578288263,-74.97
,0.2400606312,-80.88
,0.2214337026,-83.95
,0.210736122,-82.76
,0.2050894987,-81.33
,0.2052098338,-80.92
,0.2077736323,-78.49
,0.2140788775,-81.35
,0.2252491553,-94.97
,0.2405159524,-125.01
,0.2502901799,-91.35
,0.2389013683,-79.93
,0.2211595052,-67.47
,0.1839379346,-61.43
,0.1269002312,-59.93
,0.1213861267,-51.97
,0.1048325081,-45.04
,0.1082048559,-38.11
,0.1144633908,-38.9
,0.1331492885,-32.38
,0.1809885268,-33.69
,0.2419712475,-36.2
,0.2673762106,-29.97
,0.2509991663,-36.99
,0.2251413414,-39.96
,0.2047777303,-43.98
,0.1874311497,-47
,0.175142791,-52.71
,0.1686075841,-52.62
,0.1667689952,-41.06
,0.169038519,-42.64
,0.1761431296,-42.94
,0.1913187811,-53.36
,0.2077690049,-61.99
,0.2179250599,-70
,0.2086945344,-61.99
,0.1891408181,-61.21
,0.1518015834,-61.21
,0.1089034333,-61.98
,0.1026650613,-55.91
,0.0966308533,-54.93
,0.0997393628,-48.41
,0.1055082562,-46.71
,0.1227322478,-44.57
,0.1668287453,-44.47
,0.2230404343,-43.34
,0.2464578199,-43
,0.2313620466,-45.46
,0.2075272292,-51.26
,0.1887567815,-53.67
,0.1727673245,-59.04
,0.1614403552,-59.63
,0.1554164355,-55.5
,0.15372169,-52.44
,0.1558136558,-50.04
,0.1623624316,-47.05
,0.1763508039,-57.52
,0.1915140313,-63.89
,0.2008755193,-62.33
,0.1923671513,-52.75
,0.1743432356,-44.5
,0.1399252656,-45.07
,0.1003832865,-48.59
,0.0946329785,-44.05
,0.1048325081,-51.45
,0.1082048559,-48.59
,0.1144633908,-48.59
,0.1331492885,-50.15
,0.1809885268,-51.11
,0.2419712475,-49.15
,0.2673762106,-59.02
,0.2509991663,-90.19
,0.2251413414,-98.71
,0.2047777303,-96.62
,0.1874311497,-96.99
,0.175142791,-93.33
,0.1686075841,-85.09
,0.1667689952,-78
,0.169038519,-73.14
,0.1761431296,-69.96
,0.1913187811,-75.08
,0.2077690049,-103.66
,0.2179250599,-85.68
,0.2086945344,-72.89
,0.1891408181,-66.18
,0.1518015834,-55.07
,0.1089034333,-55.03
,0.1026650613,-48.87
,0.131751677,-44.43
,0.1345304574,-40.51
,0.1407003534,-42.43
,0.1560542619,-42.21
,0.1950236241,-41.62
,0.2683685216,-43.1
,0.3175430881,-44.37
,0.2973212951,-60.19
,0.2745671369,-66.39
,0.2556454262,-68.05
,0.2358092329,-66.87
,0.2244171627,-69.46
,0.2184039591,-69.66
,0.2185321065,-69.94
,0.2212623474,-78.02
,0.2279769307,-81.45
,0.2398723857,-83.14
,0.2561303069,-114.79
,0.2665390796,-88.17
,0.2544109037,-75.1
,0.2355172345,-70.42
,0.1958792303,-60.02
,0.1351386253,-58.74
,0.1292665438,-54.96
,0.1237197599,-46.38
,0.1263291388,-43.27
,0.1321229022,-42.47
,0.1465407975,-39.22
,0.1831344883,-38.06
,0.2520080944,-43
,0.2981848543,-48.95
,0.2791958332,-65.21
,0.2578288263,-60.07
,0.2400606312,-59.61
,0.2214337026,-58.99
,0.210736122,-59.03
,0.2050894987,-53.37
,0.2052098338,-52.1
,0.2077736323,-49.52
,0.2140788775,-52.12
,0.2252491553,-59.35
,0.2405159524,-66.05
,0.2502901799,-62.25
,0.2389013683,-55.38
,0.2211595052,-49.28
,0.1839379346,-46
,0.1269002312,-47.93
,0.1213861267,-42.91
,0.131751677,-44.52
,0.1345304574,-42.95
,0.1407003534,-40.98
,0.1560542619,-40.67
,0.1950236241,-41.59
,0.2683685216,-43.53
,0.3175430881,-50.12
,0.2973212951,-65.16
,0.2745671369,-69.27
,0.2556454262,-65.59
,0.2358092329,-63
,0.2244171627,-64.24
,0.2184039591,-62.68
,0.2185321065,-65
,0.2212623474,-60.59
,0.2279769307,-65.59
,0.2398723857,-74.97
,0.2561303069,-97.02
,0.2665390796,-73.78
,0.2544109037,-64.93
,0.2355172345,-58.51
,0.1958792303,-54.93
,0.1351386253,-56
,0.1292665438,-50
,0.1237197599,-43.1
,0.1263291388,-40.48
,0.1321229022,-39.96
